Comedian,Ratio of US Shows,Number of Shows
Amy Schumer,0.8671875,128
Aziz Ansari,0.9071428571428571,140
Bill Burr,0.8153846153846154,195
Bill Engvall,0.9543010752688172,372
Bo Burnham,0.859504132231405,121
Brian Posehn,0.89171974522293,157
Chris Rock,0.6971153846153846,208
Daniel Tosh,0.9743589743589743,273
Dave Chappelle,0.8763440860215054,186
Demetri Martin,0.8837209302325582,129
Frankie Boyle,0,53
Hannibal Burress,0.9235668789808917,314
Iliza Schlesinger,0.9719626168224299,214
Jeff Foxworthy,0.8994974874371859,199
Jim Gaffigan,0.9067524115755627,311
Jim Jefferies,0.6855670103092784,194
Jimmy Carr,0.025,280
John Mulaney,0.916030534351145,131
Louis CK,0.8514056224899599,249
Neal Brennan,0.9629629629629629,108
Patton Oswalt,0.9683544303797469,158
Ron White,0.9725806451612903,620
Tom Segura,0.925,120
Larry the Cable Guy,0.9014084507042254,426
Maria Bamford,0.9647887323943662,142
